polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,ap_pdp_pl,ucd,pce,ci_u,cds,basque_nationalist_party,hb,erc,ee,pa,prd,galician_coalition,muc,iu
Iope–Etmar,15/01/1986,15/01/1986,22/06/1986,1800,NA,47.8,22.3,NA,4,4.5,8,1.9,NA,NA,NA,0.8,4.3,0.3,NA,NA
Iope–Etmar,14/12/1986,14/12/1986,22/06/1986,1800,NA,45.9,23.6,NA,4.7,4.3,7.2,2.1,NA,NA,NA,1.5,4.5,0.3,NA,NA
ECO,12/01/1986,14/01/1986,22/06/1986,1307,NA,45,28.5,NA,5,4,5,2,NA,NA,NA,NA,2,NA,NA,NA
Gallup,28/11/1986,30/11/1986,22/06/1986,1035,NA,38.2,26.3,NA,5.8,3.9,6.3,2,1,0.7,0.5,NA,8.3,NA,NA,NA
AP,31/10/1986,31/10/1986,22/06/1986,1037,NA,39.9,31.5,NA,6.9,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC,26/10/1986,28/10/1986,22/06/1986,1111,NA,39.2,29.4,NA,7.2,4,4,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Gallup,22/09/1986,22/09/1986,22/06/1986,1024,NA,42.9,28,NA,5.9,3.1,5.7,2.3,0.9,0.7,0.6,NA,5.2,NA,NA,NA
Iope–Etmar,14/09/1986,14/09/1986,22/06/1986,1852,NA,44.8,24.4,NA,5,5,7.7,1.8,NA,NA,NA,0.9,2.9,0.6,NA,NA
TC,21/09/1986,23/09/1986,22/06/1986,NA,NA,37.1,28.2,NA,5.6,3,3.6,1.9,0.8,NA,0.6,NA,NA,NA,NA,NA
TC,30/07/1986,30/07/1986,22/06/1986,1111,NA,40.6,30.4,NA,6.5,3.1,3.5,2,0.7,NA,0.5,NA,NA,NA,NA,NA
ECO,28/07/1986,28/07/1986,22/06/1986,NA,NA,41.1,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC,13/07/1986,15/07/1986,22/06/1986,NA,NA,44.3,27.4,NA,4.9,3.1,2.4,2,1,NA,0.6,NA,NA,NA,NA,NA
TC,22/06/1986,24/06/1986,22/06/1986,NA,NA,42,29.4,NA,5.4,3,3.5,2,0.8,NA,0.6,NA,NA,NA,NA,NA
Gallup,22/03/1986,24/03/1986,22/06/1986,1031,NA,42.3,27.1,NA,6.1,3.7,5.3,1.9,1,1,0.6,NA,NA,NA,NA,NA
Iope–Etmar,25/11/1986,27/11/1986,22/06/1986,2200,NA,47.5,26.9,NA,4.4,4.3,4.6,1.9,NA,NA,NA,0.5,3.1,NA,NA,NA
