polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,podemos,cs,iu_u_pe_c,erc_cat_si,di_l,cdc,basque_nationalist_party,pacma,eh_bildu,cc
GESOP,11/06/2016,13/06/2016,26/06/2016,900,69,28,21,NA,14.9,NA,NA,NA,NA,NA,NA,NA,24.9
TNS Demoscopia,10/06/2016,12/06/2016,26/06/2016,500,69,29,21.3,NA,15.6,NA,NA,NA,NA,NA,NA,NA,24.5
SYM Consulting,08/06/2016,10/06/2016,26/06/2016,1816,72.8,29.7,22.9,NA,13.4,NA,NA,NA,NA,NA,NA,NA,24.4
NC Report,08/06/2016,10/06/2016,26/06/2016,1000,NA,30.6,21.3,NA,13.7,NA,2.3,1.7,1.1,NA,0.8,0.3,24.8
Netquest,08/06/2016,10/06/2016,26/06/2016,2000,NA,28.8,21,NA,15.8,NA,NA,NA,NA,NA,NA,NA,24.7
GAD3,07/06/2016,09/06/2016,26/06/2016,1016,70,29.8,21.4,NA,14.9,NA,2.4,1.8,1.2,NA,0.9,0.3,24.3
Sondaxe,07/06/2016,09/06/2016,26/06/2016,1005,NA,29.2,21.4,NA,12.9,NA,2.4,1.9,0.9,NA,0.9,NA,26.1
Metroscopia,06/06/2016,08/06/2016,26/06/2016,1200,70,28.9,20.8,NA,15.9,NA,NA,NA,NA,NA,NA,NA,25.4
InvyMark,05/06/2016,07/06/2016,26/06/2016,NA,NA,30.1,20,NA,14.4,NA,2.6,1.7,1.3,NA,NA,NA,24.8
GESOP,05/06/2016,07/06/2016,26/06/2016,1816,NA,27.9,21.2,NA,15.5,NA,2.3,1.6,NA,NA,NA,NA,24.5
Celeste-Tel,05/06/2016,07/06/2016,26/06/2016,1100,65.6,29.7,22.1,NA,14.3,NA,2.4,1.7,1.2,1,0.9,0.3,24.4
Encuestamos,26/05/2016,26/05/2016,26/06/2016,2000,NA,30.4,21.9,NA,13.6,NA,2.3,2,1.3,NA,0.7,0.2,23.6
Netquest,01/06/2016,03/06/2016,26/06/2016,1000,NA,27.7,21.6,NA,15.4,NA,NA,NA,NA,NA,NA,NA,24.3
NC Report,30/05/2016,30/05/2016,26/06/2016,2000,63.9,30.5,21.4,NA,13.9,NA,2.3,1.7,1.1,NA,0.8,0.3,24.5
Sigma Dos,31/05/2016,31/05/2016,26/06/2016,1000,NA,31,20.3,NA,14,NA,2.6,2.2,1.3,NA,NA,NA,23.7
JM&A,01/06/2016,01/06/2016,26/06/2016,NA,69.5,28.7,21.7,NA,14.8,NA,2.3,2.5,1.3,NA,0.9,0.4,24.1
PSOE,01/06/2016,01/06/2016,26/06/2016,1000,NA,27.9,23.8,NA,14.5,NA,NA,NA,NA,NA,NA,NA,22.4
Metroscopia,31/05/2016,31/05/2016,26/06/2016,1200,68,28.5,20.2,NA,16.6,NA,NA,NA,NA,NA,NA,NA,25.6
CDC,31/05/2016,31/05/2016,26/06/2016,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,25/05/2016,27/05/2016,26/06/2016,2000,NA,30.5,21.3,NA,14.2,NA,2.2,1.6,1.1,NA,0.8,0.3,24.7
GAD3,24/05/2016,26/05/2016,26/06/2016,1000,70,29.6,21.6,NA,14.8,NA,2.4,2.2,1.2,NA,0.9,0.3,22.5
Advice Strategic,23/05/2016,25/05/2016,26/06/2016,2500,NA,29.8,20.4,NA,14.7,NA,NA,NA,NA,NA,NA,NA,24.4
MyWord,22/05/2016,24/05/2016,26/06/2016,1000,NA,29.2,20.7,NA,14.2,NA,NA,NA,NA,NA,NA,NA,24.8
CIS,20/05/2016,22/05/2016,26/06/2016,17488,NA,29.2,21.2,NA,14.6,NA,2.4,1.8,1.2,NA,0.9,0.2,25.6
Encuestamos,20/05/2016,22/05/2016,26/06/2016,2000,NA,30.3,22.9,NA,13.9,NA,2.4,2.2,1.1,NA,0.6,0.3,23.2
Celeste-Tel,18/05/2016,20/05/2016,26/06/2016,1100,65,29.5,22,NA,14.9,NA,2.3,1.5,1.2,1.1,0.9,0.3,24.2
NC Report,18/05/2016,20/05/2016,26/06/2016,2500,63.5,30.4,21.1,NA,14.5,NA,2.3,1.5,1.1,NA,0.8,0.3,24.9
Metroscopia,16/05/2016,18/05/2016,26/06/2016,1200,72,28.4,20.1,NA,16.4,NA,NA,NA,NA,NA,NA,NA,22.9
Metroscopia,16/05/2016,18/05/2016,26/06/2016,1200,68,29.9,20.2,NA,15.5,NA,NA,NA,NA,NA,NA,NA,23.2
Metroscopia,16/05/2016,18/05/2016,26/06/2016,1200,63,31.5,21.1,NA,13.3,NA,NA,NA,NA,NA,NA,NA,23.7
GIPEyOP,16/05/2016,18/05/2016,26/06/2016,2940,NA,29.3,21.9,NA,13.3,NA,2.5,2.1,1.2,NA,0.8,0.3,24.3
Redondo & Asociados,15/05/2016,17/05/2016,26/06/2016,1000,70.1,29.4,21.2,NA,15.1,NA,2.2,1.5,1.1,NA,0.9,0.3,24.3
JM&A,13/05/2016,13/05/2016,26/06/2016,NA,69.2,27.8,20.3,NA,16.6,NA,2.3,2.3,1.3,NA,0.9,0.3,24.5
Netquest,11/05/2016,13/05/2016,26/06/2016,1000,NA,30.8,19.7,NA,14.7,NA,NA,NA,NA,NA,NA,NA,23.7
InvyMark,11/05/2016,13/05/2016,26/06/2016,NA,NA,29.6,20.1,NA,15.1,NA,NA,NA,NA,NA,NA,NA,24.2
NC Report,10/05/2016,12/05/2016,26/06/2016,1500,NA,30.2,21,NA,14.7,NA,2.2,1.5,1.1,NA,0.9,0.3,24.9
Simple Lógica,08/05/2016,10/05/2016,26/06/2016,1035,71.7,29.9,21.5,14.2,17.7,7.9,NA,NA,NA,NA,NA,NA,NA
NC Report,25/04/2016,25/04/2016,26/06/2016,2000,63.6,30.2,20.8,NA,15,NA,2.1,1.5,1.2,NA,0.8,0.3,24.7
Celeste-Tel,04/05/2016,06/05/2016,26/06/2016,1100,64.5,29.2,22.4,NA,15.5,NA,2.4,1.5,1.2,1,0.9,0.3,24.2
Celeste-Tel,04/05/2016,06/05/2016,26/06/2016,1100,64.5,29.1,21.9,19.8,15.4,5.3,2.4,1.5,1.2,0.9,0.9,0.3,NA
Encuestamos,23/04/2016,23/04/2016,26/06/2016,1800,NA,30,22.8,19.1,14.1,4.8,2.4,2.3,1.2,NA,0.6,0.3,NA
NC Report,28/04/2016,30/04/2016,26/06/2016,2000,63.9,29.9,20.4,20.9,15,5,NA,NA,NA,NA,NA,NA,NA
GAD3,27/04/2016,29/04/2016,26/06/2016,800,69,29.3,22.6,17,13.9,5.3,2.1,1.8,1.3,NA,0.9,0.4,NA
InvyMark,27/04/2016,29/04/2016,26/06/2016,1200,NA,28.7,19.4,20.7,15.4,4.8,NA,NA,NA,NA,NA,NA,NA
Metroscopia,26/04/2016,28/04/2016,26/06/2016,1200,70,29,20.3,18.1,16.9,6.6,NA,NA,NA,NA,NA,NA,NA
NC Report,21/04/2016,23/04/2016,26/06/2016,2000,63.9,29.9,20.5,21.2,15.2,4.6,NA,NA,NA,NA,NA,NA,NA
Netquest,20/04/2016,22/04/2016,26/06/2016,1000,NA,27.3,20.2,18.7,17,5.8,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,20/04/2016,22/04/2016,26/06/2016,800,NA,29.5,22.2,18.6,14.7,4.5,2.6,1.9,1.1,NA,NA,NA,NA
Encuestamos,18/04/2016,20/04/2016,26/06/2016,2000,NA,30.3,23,19.4,14.2,4.4,2.6,2.2,1.1,NA,0.6,0.3,NA
NC Report,14/04/2016,16/04/2016,26/06/2016,2400,64.2,29.8,20.7,20.9,15.4,4.5,2.2,1.5,1.2,NA,0.7,0.3,NA
InvyMark,13/04/2016,15/04/2016,26/06/2016,NA,NA,28.6,20.4,19.2,15.8,5.4,NA,NA,NA,NA,NA,NA,NA
TNS Demoscopia,12/04/2016,14/04/2016,26/06/2016,1000,69,29.4,22.3,17.5,15.8,6,NA,NA,NA,NA,NA,NA,NA
NC Report,12/04/2016,14/04/2016,26/06/2016,955,NA,30.7,21.2,21.9,14.5,4.9,NA,NA,NA,NA,NA,NA,NA
JM&A,13/04/2016,13/04/2016,26/06/2016,NA,66.9,27.9,19.8,20.9,17,3.6,2.4,2.4,1.3,NA,0.9,0.4,NA
