polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,cs,unidas_podemos,vox,erc_sobiranistes,jx_cat,basque_nationalist_party,eh_bildu,compromis,cc_n_ca,na,regionalist_party_of_cantabria,mas_pais,cup
NC Report,29/10/2019,31/10/2019,10/11/2019,NA,67.1,27.3,22.7,8.8,12.1,12.2,3.9,1.6,1.6,1,NA,NA,NA,NA,3.5,NA
GAD3,29/10/2019,31/10/2019,10/11/2019,7900,70.5,27.4,21.6,8,11.2,14.9,3.5,1.4,1.5,0.8,NA,0.4,0.4,0.2,2.8,1.6
ElectoPanel,28/10/2019,30/10/2019,10/11/2019,1250,NA,27,21.7,8.9,12.5,12.7,4,1.4,1.5,1,NA,0.6,0.4,0.3,3.9,1.2
DYM,28/10/2019,30/10/2019,10/11/2019,1005,NA,26.8,19.4,10,12.5,13.6,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA
PSOE,29/10/2019,29/10/2019,10/11/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipsos,27/10/2019,29/10/2019,10/11/2019,2000,70,26,19.4,10,13,14,3.5,2.1,1.5,NA,NA,NA,NA,NA,4.7,NA
ElectoPanel,27/10/2019,29/10/2019,10/11/2019,1250,NA,26.9,21.8,9.1,12.7,12.4,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA
Hamalgama Métrica,27/10/2019,29/10/2019,10/11/2019,1000,67.6,27.1,22.5,9,12.6,12.1,3.9,1.5,1.5,1,NA,0.6,0.4,0.2,3.8,1.1
40dB,27/10/2019,29/10/2019,10/11/2019,2002,NA,27.3,21.2,8.3,12.4,13.7,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA
Sigma Dos,27/10/2019,29/10/2019,10/11/2019,1800,NA,27.5,20.6,8.9,13.5,13.4,4,1.2,1.4,NA,NA,NA,NA,NA,3.9,NA
ElectoPanel,26/10/2019,28/10/2019,10/11/2019,1250,NA,26.6,21.8,9,12.7,12.6,4.1,1.5,1.4,1,NA,0.6,0.4,0.3,4,1.2
Sigma Dos,27/10/2019,27/10/2019,10/11/2019,NA,NA,27.1,20.4,8.9,13.2,13.3,4.5,1.2,1.4,NA,NA,NA,NA,NA,3.9,1.1
SyM Consulting,25/10/2019,27/10/2019,10/11/2019,1923,72.3,27.1,22.2,10.3,9.6,13.8,3.5,NA,NA,NA,NA,NA,NA,NA,3.3,NA
ElectoPanel,25/10/2019,27/10/2019,10/11/2019,1250,NA,26.6,21.6,9.1,12.6,12.7,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA
KeyData,26/10/2019,26/10/2019,10/11/2019,NA,70.8,27.6,21.5,10.2,12.3,10.7,3.9,1.9,1.5,1,NA,0.5,NA,NA,4.6,NA
ElectoPanel,24/10/2019,26/10/2019,10/11/2019,1250,NA,27.2,22.2,9.3,12.2,11.8,3.9,1.5,1.5,1,NA,0.6,0.4,0.2,4.4,1.1
SocioMétrica,24/10/2019,26/10/2019,10/11/2019,1100,NA,25.5,21,9.3,12.2,12.2,3.6,1.8,1.3,1,NA,0.4,0.3,0.3,5.1,1.3
ElectoPanel,23/10/2019,25/10/2019,10/11/2019,1250,NA,27.6,22.2,9.4,12,11.3,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA
Hamalgama Métrica,23/10/2019,25/10/2019,10/11/2019,1000,66.4,26.9,22.7,9.2,12.7,11.7,3.9,1.5,1.5,1,NA,0.4,0.4,0.2,4.3,0.8
InvyMark,23/10/2019,25/10/2019,10/11/2019,NA,NA,28.6,21.7,10.6,11.5,10,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA
NC Report,23/10/2019,25/10/2019,10/11/2019,1000,66.2,27.5,23,9,12.1,11.3,4,NA,1.7,NA,NA,NA,NA,NA,4.3,NA
ElectoPanel,22/10/2019,24/10/2019,10/11/2019,1250,NA,27.9,22.3,9.4,12,11.3,4,1.5,1.5,1,NA,0.6,0.4,0.2,4.2,1.1
GAD3,22/10/2019,24/10/2019,10/11/2019,2730,69,27.3,21.7,8.9,12.7,13.5,3.2,1.6,1.4,0.9,NA,0.4,0.4,0.2,2.8,1.1
Celeste-Tel,22/10/2019,24/10/2019,10/11/2019,1100,66.9,27.7,22.2,10,12.9,10.5,4,1.6,1.6,1,NA,0.7,0.4,0.2,4.4,0.8
Sigma Dos,22/10/2019,24/10/2019,10/11/2019,1600,NA,27,20.8,8.6,13.1,13,4.4,1.3,1.4,NA,NA,NA,NA,NA,4,NA
ElectoPanel,21/10/2019,23/10/2019,10/11/2019,1250,NA,27.6,22.1,9.9,12.2,10.9,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA
ElectoPanel,20/10/2019,22/10/2019,10/11/2019,1250,NA,27.2,22.1,9.9,12.6,10.8,3.9,1.4,1.5,1,NA,0.6,0.4,0.2,4.4,1.2
Hamalgama Métrica,20/10/2019,22/10/2019,10/11/2019,1000,NA,26.5,22.8,9.8,12.9,11.1,4,NA,NA,NA,NA,NA,NA,NA,4.1,NA
Sigma Dos,20/10/2019,22/10/2019,10/11/2019,1600,NA,27.3,21.4,8.8,12.7,12,4.2,1.5,1.6,NA,NA,NA,NA,NA,4.5,NA
ElectoPanel,19/10/2019,21/10/2019,10/11/2019,1250,NA,26.9,22.1,10,12.7,10.7,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
ElectoPanel,18/10/2019,20/10/2019,10/11/2019,1250,NA,26.9,22.3,10,12.8,10.6,4,1.3,1.5,1,NA,0.6,0.4,0.2,4.5,1.2
ElectoPanel,17/10/2019,19/10/2019,10/11/2019,1250,NA,26.7,22.4,10.1,12.9,10.5,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
ElectoPanel,16/10/2019,18/10/2019,10/11/2019,1250,69.1,26.8,22.3,10,12.9,10.3,4.1,1.2,1.5,1,NA,0.6,0.4,0.3,4.5,1.3
Hamalgama Métrica,16/10/2019,18/10/2019,10/11/2019,1000,66.4,26.4,22.7,10,13.1,10.7,4,1.5,1.5,1,NA,0.6,0.5,0.2,3.9,0.8
GAD3,16/10/2019,18/10/2019,10/11/2019,3233,70,28.7,23,8.3,11.2,11.9,3.8,1.6,1.5,0.9,NA,0.3,0.5,0.3,3.7,0.9
InvyMark,16/10/2019,18/10/2019,10/11/2019,NA,NA,29.6,20.6,11.2,11.3,9,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA
SocioMétrica,16/10/2019,18/10/2019,10/11/2019,NA,NA,26.1,21.5,9.7,11.8,11.7,3.3,1.8,1.4,0.9,NA,0.3,0.3,0.2,5.6,1.2
NC Report,16/10/2019,18/10/2019,10/11/2019,NA,65.1,27.2,22.8,9.8,12.7,10.6,4.1,NA,1.7,NA,NA,NA,NA,NA,4.1,NA
ElectoPanel,15/10/2019,17/10/2019,10/11/2019,1250,NA,27.5,21.9,9.7,12.8,10.4,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA
Ipsos,15/10/2019,17/10/2019,10/11/2019,2000,NA,26.7,21.7,9.4,12.3,11.8,4,1.8,1.4,NA,NA,NA,NA,NA,4.6,NA
Celeste-Tel,15/10/2019,17/10/2019,10/11/2019,1100,65.3,27,22.3,11.1,13.4,9.1,4.2,1.5,1.6,1,NA,0.7,0.4,0.2,4.6,0.7
Sigma Dos,15/10/2019,17/10/2019,10/11/2019,1600,NA,27,21,9.6,12.5,11.5,4.2,1.5,1.7,NA,NA,NA,NA,NA,4.6,NA
KeyData,16/10/2019,16/10/2019,10/11/2019,NA,68.9,28.2,20.7,10.8,12.2,10.3,3.9,1.7,1.5,1,NA,0.5,NA,NA,4.9,NA
ElectoPanel,14/10/2019,16/10/2019,10/11/2019,1250,NA,27.7,21.4,9.5,12.4,10.9,3.9,1.5,1.5,1,NA,0.6,0.4,0.3,4.8,1.2
ElectoPanel,13/10/2019,15/10/2019,10/11/2019,1250,NA,27.4,21.6,9.3,12.5,10.8,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA
Hamalgama Métrica,13/10/2019,15/10/2019,10/11/2019,1000,NA,26.5,22.7,10.2,13.3,10.1,4.2,NA,NA,NA,NA,NA,NA,NA,4,NA
Sigma Dos,13/10/2019,15/10/2019,10/11/2019,1600,NA,27.1,21.2,9.3,12.8,11.3,4.2,1.4,1.7,NA,NA,NA,NA,NA,4.2,NA
CIS,21/09/2019,21/09/2019,10/11/2019,17650,NA,32.2,18.1,10.6,14.6,7.9,4.4,1.8,1.5,1.2,NA,0.3,0.4,0.2,2.9,0.6
Llorente & Cuenca,10/10/2019,12/10/2019,10/11/2019,NA,68,25.8,21,10.8,10.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA
SocioMétrica,10/10/2019,12/10/2019,10/11/2019,1000,NA,27.4,20.9,9.3,12.3,10.5,3.2,1.7,1.4,1.1,NA,0.3,0.2,0.2,5.1,1.5
ElectoPanel,10/10/2019,12/10/2019,10/11/2019,1250,NA,27.5,22,9,12,10.5,4,1.6,1.5,1,NA,0.6,0.4,0.3,4.8,0.8
Celeste-Tel,09/10/2019,11/10/2019,10/11/2019,1100,NA,27.3,22.2,11.4,13.7,8.4,4.2,1.5,1.6,1,NA,0.7,0.4,0.2,4.9,0.7
GAD3,09/10/2019,11/10/2019,10/11/2019,3121,68,28.4,22.2,8.6,11.9,11.8,3.2,1.8,1.4,0.9,NA,0.3,0.5,0.2,3.9,1
Hamalgama Métrica,08/10/2019,10/10/2019,10/11/2019,1000,65.9,26.4,22.5,10.6,13.4,9.8,4.2,1.6,1.5,1,NA,0.6,0.5,0.2,4.1,0.7
Sigma Dos,08/10/2019,10/10/2019,10/11/2019,1600,NA,27.5,20.6,9.8,13.2,10.7,4,1.5,1.6,NA,NA,NA,NA,NA,4.4,NA
ElectoPanel,06/10/2019,08/10/2019,10/11/2019,2000,NA,27.9,22.5,8.9,12.1,9.8,3.9,1.6,1.5,1,NA,0.6,0.4,0.3,4.5,0.9
Sigma Dos,30/09/2019,30/09/2019,10/11/2019,1600,NA,27.9,21.3,10,12.6,10.2,3.6,1.7,1.6,NA,NA,NA,NA,NA,4.3,NA
ElectoPanel,03/10/2019,05/10/2019,10/11/2019,NA,NA,26.4,22.4,10.1,12.1,8.7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
KeyData,04/10/2019,04/10/2019,10/11/2019,NA,68.6,28.4,20,11.6,12.1,9.1,3.6,1.6,1.3,1,NA,0.4,NA,NA,5.9,NA
Celeste-Tel,02/10/2019,04/10/2019,10/11/2019,1100,65.7,27.2,21.8,12.2,13.9,7.5,4.2,1.6,1.6,1,NA,0.7,0.5,0.2,5.1,0.5
Simple Lógica,02/10/2019,04/10/2019,10/11/2019,1046,66.3,29.1,19.1,10,12.5,12.2,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA
SocioMétrica,02/10/2019,04/10/2019,10/11/2019,1000,NA,27.2,20.7,10.6,11.7,10.9,3.5,1.8,1.3,1.1,NA,0.4,0.3,0.2,5.5,1.2
GAD3,30/09/2019,30/09/2019,10/11/2019,3121,67,27.2,20.9,11,12.4,10.6,3.8,1.6,1.5,0.9,NA,0.3,0.5,0.2,4.3,0.9
Hamalgama Métrica,30/09/2019,30/09/2019,10/11/2019,900,65.9,26.1,22.1,11.7,13.5,8.5,4.3,1.7,1.6,1,NA,0.6,0.5,0.2,4.6,0.6
InvyMark,30/09/2019,30/09/2019,10/11/2019,NA,NA,29.9,20.5,11.7,11.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
IMOP,01/10/2019,03/10/2019,10/11/2019,1227,65.7,28.3,20.1,10.7,12,10.8,3.3,2.2,1.6,1,NA,NA,NA,NA,4.1,1.1
GESOP,30/09/2019,30/09/2019,10/11/2019,1005,NA,28,19.6,10.4,12.2,10.3,3.2,1.8,NA,NA,NA,NA,NA,NA,5.5,1.5
Sigma Dos,30/09/2019,30/09/2019,10/11/2019,1000,NA,28.9,21.2,10.1,12.2,9.2,3.8,1.8,1.7,NA,NA,NA,NA,NA,4.6,NA
ElectoPanel,28/09/2019,28/09/2019,10/11/2019,1200,NA,26,22.4,10.5,12.3,8.7,4,1.6,1.6,1,NA,0.6,0.4,0.3,6.2,0.7
GAD3,27/09/2019,29/09/2019,10/11/2019,NA,70,27.8,21.4,11.5,11.7,9.5,4,1.9,1.5,1,NA,0.3,0.5,0.2,5.1,NA
ElectoPanel,25/09/2019,27/09/2019,10/11/2019,3000,NA,25.2,21.7,11.3,11.6,8.7,4.2,1.8,1.5,0.9,NA,0.7,0.4,0.2,7.7,NA
Sondaxe,24/09/2019,26/09/2019,10/11/2019,1001,NA,26.1,19.1,10.3,12.1,10.1,NA,NA,1.3,NA,NA,NA,NA,NA,6.4,NA
GAD3,23/09/2019,25/09/2019,10/11/2019,1207,NA,27.2,21.4,11.3,12.4,9.6,3.9,2,1.6,1,NA,0.4,0.5,0.2,5.2,NA
Celeste-Tel,21/09/2019,23/09/2019,10/11/2019,1100,65.6,29.4,22.1,13.4,14.1,7,4.2,1.7,1.6,1.1,0.7,0.6,0.5,0.2,NA,NA
NC Report,19/09/2019,21/09/2019,10/11/2019,1000,65,28.6,22,13.7,13.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipsos,18/09/2019,20/09/2019,10/11/2019,1837,69.5,28,19.8,14.2,15.2,9.8,3.7,1.7,1.5,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,18/09/2019,20/09/2019,10/11/2019,1000,NA,28.6,19.4,11.9,14.5,10,4.2,1.8,1.6,1.2,0.8,0.6,0.3,0.3,NA,NA
40dB,18/09/2019,20/09/2019,10/11/2019,1544,62.8,30.3,23.5,13.3,14,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,18/09/2019,20/09/2019,10/11/2019,1006,69,31.6,20.3,13.1,13.4,9.6,3.4,1.7,1.3,1,NA,NA,NA,NA,NA,NA
InvyMark,18/09/2019,20/09/2019,10/11/2019,NA,NA,33.4,20.2,12.1,12.5,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectoPanel,16/09/2019,18/09/2019,10/11/2019,1000,64.7,27.7,21,13,13.8,9.6,4.4,1.8,1.6,1,0.8,0.5,0.4,0.2,NA,NA
CIS (SocioMétrica),16/09/2019,18/09/2019,10/11/2019,5906,NA,29.4,19.9,13.3,15.4,9.7,3.8,1.9,1.6,1.1,0.5,0.3,0.3,0.1,NA,NA
CIS (Gravitas),16/09/2019,18/09/2019,10/11/2019,5906,68,29.3,16.8,13.2,16,10.4,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
CIS,16/09/2019,18/09/2019,10/11/2019,5906,NA,34.2,17.1,12.9,15.5,7.5,3.7,2,1.6,1.2,0.6,0.2,0.1,0.1,NA,NA
ElectoPanel,13/09/2019,15/09/2019,10/11/2019,1200,64.7,28.4,20.8,12.7,13.5,9.7,4.5,2.1,1.7,1,0.9,0.5,0.4,0.3,NA,NA
Demoscopia Servicios,12/09/2019,14/09/2019,10/11/2019,NA,71.3,31.8,20.6,14,12.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,11/09/2019,13/09/2019,10/11/2019,NA,NA,33.9,20,11.7,12.3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYM,10/09/2019,12/09/2019,10/11/2019,1001,NA,29.8,18.4,13.3,14.6,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KeyData,06/09/2019,06/09/2019,10/11/2019,NA,72.1,31.2,19.3,13.6,13.7,8.4,3.9,1.5,1.5,1,NA,0.5,NA,NA,NA,NA
Simple Lógica,04/09/2019,06/09/2019,10/11/2019,1089,68.3,30.6,18.4,13.6,13.8,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,04/09/2019,06/09/2019,10/11/2019,1000,70,32.1,19.9,14,13.3,7.9,3.8,1.9,1.4,1,NA,NA,0.4,NA,NA,NA
InvyMark,04/09/2019,06/09/2019,10/11/2019,NA,NA,34.4,20.1,11.5,12.2,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celeste-Tel,03/09/2019,05/09/2019,10/11/2019,1100,65.9,30.5,20.1,14.1,13.7,8,4.3,1.7,1.6,1,0.5,0.6,0.6,0.2,NA,NA
SocioMétrica,28/08/2019,30/08/2019,10/11/2019,1100,NA,31.3,18.1,12.2,13.9,9.7,4.1,1.8,1.6,1.1,0.8,0.4,0.4,0.2,NA,NA
Sigma Dos,27/08/2019,29/08/2019,10/11/2019,1000,NA,33.4,19,11.8,14.2,8.3,4.3,1.1,1.5,NA,NA,NA,NA,NA,NA,NA
NC Report,22/08/2019,24/08/2019,10/11/2019,1000,66.6,29.5,21.9,13.9,13.1,7.7,3.6,1.8,1.5,1.1,0.5,0.6,0.5,0.2,NA,NA
ElectoPanel,13/08/2019,15/08/2019,10/11/2019,2500,64.1,29.3,21,12.5,13.2,9,4.5,2,1.6,1.1,0.9,0.6,0.4,0.3,NA,NA
NC Report,11/08/2019,11/08/2019,10/11/2019,NA,67.6,29.7,21.8,14.1,12.9,7.8,3.5,2,1.5,1.2,0.4,0.7,0.6,0.2,NA,NA
Celeste-Tel,05/08/2019,07/08/2019,10/11/2019,1100,67,30.9,20.2,14.3,13.4,8.3,3.7,1.8,1.5,0.9,0.4,0.6,0.5,0.2,NA,NA
KeyData,05/08/2019,05/08/2019,10/11/2019,NA,72.7,31.5,18.7,14.4,13.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Lógica,03/08/2019,05/08/2019,10/11/2019,1074,68,31.4,17.2,14.9,13.8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,29/07/2019,29/07/2019,10/11/2019,NA,NA,36.1,17,12.6,12.3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SocioMétrica,24/07/2019,26/07/2019,10/11/2019,1000,NA,29.3,18.2,16.2,14.3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectoPanel,24/07/2019,26/07/2019,10/11/2019,1200,64.2,29.2,20.8,12.3,13.2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectoPanel,23/07/2019,23/07/2019,10/11/2019,NA,NA,32.2,19.8,11.6,13.9,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectoPanel,21/07/2019,21/07/2019,10/11/2019,NA,NA,31.9,20.3,11.7,13.8,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,17/07/2019,19/07/2019,10/11/2019,NA,NA,36.7,16.1,12.9,12.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metroscopia,10/07/2019,12/07/2019,10/11/2019,1251,NA,31,19,13,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS(El Mundo),09/07/2019,11/07/2019,10/11/2019,2952,NA,32.6,15.7,15.3,15,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Simple Lógica,07/07/2019,09/07/2019,10/11/2019,1037,70.2,32.7,17.9,13.1,15.2,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KeyData,07/07/2019,07/07/2019,10/11/2019,NA,72.1,31.2,17.4,16.6,13.1,7.6,3.9,1.5,1.3,1.1,NA,0.4,NA,NA,NA,NA
InvyMark,04/07/2019,06/07/2019,10/11/2019,1200,NA,36.6,15.5,13.2,12.9,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demoscopia Servicios,03/07/2019,05/07/2019,10/11/2019,NA,72.4,31.3,21.5,16.2,11.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celeste-Tel,03/07/2019,05/07/2019,10/11/2019,1100,67.6,31.2,19.9,14.4,13.2,8.4,3.8,1.8,1.5,0.9,0.4,0.6,0.5,0.2,NA,NA
ElectoPanel,23/06/2019,25/06/2019,10/11/2019,8800,NA,32.1,20.2,12.5,12.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,21/06/2019,21/06/2019,10/11/2019,1000,NA,32.6,19.4,13.1,13.2,8,4.2,1.7,1.5,NA,NA,NA,NA,NA,NA,NA
GAD3,19/06/2019,21/06/2019,10/11/2019,800,70,30.8,20.6,16.2,13,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
InvyMark,19/06/2019,21/06/2019,10/11/2019,NA,NA,35.9,15.1,14,12.9,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,11/06/2019,13/06/2019,10/11/2019,1000,68.8,30.5,20.2,14.9,12.7,8,3.6,1.9,1.6,1.1,0.4,0.7,0.6,0.2,NA,NA
Celeste-Tel,09/06/2019,11/06/2019,10/11/2019,1100,68.1,30.6,19.4,14.6,13.2,8.7,3.9,1.9,1.5,1,0.4,0.7,0.5,0.2,NA,NA
Simple Lógica,09/06/2019,11/06/2019,10/11/2019,1090,75.9,32,15.7,19.7,13.4,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS(El Mundo),09/06/2019,11/06/2019,10/11/2019,2974,NA,30.4,14.2,15.1,12.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
