polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu_lv,ci_u,basque_nationalist_party,u_py_d,erc,galician_nationalist_bloc,cc,amaiur
Celeste-Tel,06/10/2011,08/10/2011,20/11/2011,1357,69.1,32.7,45.5,6.8,3.3,1.4,3,0.8,1.3,0.9,1.3
InvyMark,05/10/2011,07/10/2011,20/11/2011,NA,NA,35.1,46.1,4.6,3.4,NA,NA,NA,NA,NA,NA
Sigma Dos,27/09/2011,27/09/2011,20/11/2011,3000,NA,31.6,47.8,5.2,3.2,1.2,2.9,1,NA,NA,NA
NC Report,21/09/2011,21/09/2011,20/11/2011,6100,NA,30.6,45.9,7.2,3.6,1.1,2.9,0.8,1.1,0.9,NA
Noxa,28/09/2011,28/09/2011,20/11/2011,1272,NA,32.9,45.9,4.7,3.2,0.9,3.6,0.5,NA,NA,0.8
CEMOP,26/09/2011,26/09/2011,20/11/2011,800,76,32.4,46.8,6.3,3.6,1.4,3.1,1.3,NA,NA,NA
Sigma Dos,28/09/2011,30/09/2011,20/11/2011,2000,NA,31.8,47.4,5,3.2,1.2,3.1,0.9,NA,NA,NA
Celeste-Tel,28/09/2011,30/09/2011,20/11/2011,1100,NA,32.1,45.1,7,3.5,1.2,2.9,0.8,1.3,1,NA
PP,29/09/2011,29/09/2011,20/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,26/09/2011,28/09/2011,20/11/2011,1000,70,30.6,46.1,6.8,3.6,1.1,3,0.8,1,0.9,NA
Celeste-Tel,21/09/2011,23/09/2011,20/11/2011,1100,NA,31.3,44,7.4,3.6,1.1,2.9,0.8,1.4,1,NA
InvyMark,21/09/2011,23/09/2011,20/11/2011,NA,NA,35.3,45.9,4.5,3.4,NA,NA,NA,NA,NA,NA
GESOP,20/09/2011,22/09/2011,20/11/2011,1000,NA,31.4,46.1,4.7,3.7,1,5,1,NA,NA,NA
Celeste-Tel,14/09/2011,16/09/2011,20/11/2011,1100,NA,31.5,44.2,6.9,3.8,1.2,2.9,0.7,1.2,1,NA
InvyMark,07/09/2011,09/09/2011,20/11/2011,NA,NA,35.5,45.8,NA,NA,NA,NA,NA,NA,NA,NA
Opinión 2000,06/09/2011,08/09/2011,20/11/2011,1000,NA,32,45,6.5,4,1.5,2,1.5,NA,NA,NA
Metroscopia,06/09/2011,08/09/2011,20/11/2011,1002,70,30.7,44.8,6.2,3.3,NA,4.4,NA,NA,NA,NA
Simple Lógica,06/09/2011,08/09/2011,20/11/2011,1022,NA,32.9,46.7,5.2,2.5,0.9,3.8,NA,NA,NA,NA
GAD3,04/09/2011,06/09/2011,20/11/2011,504,NA,31.1,45.1,6.1,3.4,1.1,3.9,0.7,0.8,0.3,NA
Sigma Dos,29/08/2011,29/08/2011,20/11/2011,1000,NA,32.3,47.1,5,3.2,1.2,3.5,0.6,NA,NA,NA
NC Report,28/08/2011,28/08/2011,20/11/2011,NA,69.5,30.8,46.5,6.2,3.8,1.2,3.2,0.7,1,0.6,NA
Simple Lógica,08/08/2011,10/08/2011,20/11/2011,1014,NA,31.5,44.8,4.3,3,1,4.8,NA,NA,NA,NA
DYM,01/08/2011,03/08/2011,20/11/2011,1076,NA,35,47.6,4.7,3.5,1.3,1.8,0.5,NA,NA,2
NC Report,28/07/2011,30/07/2011,20/11/2011,1000,69.3,30.9,46.9,6.6,3.8,1.2,3.2,0.9,1,0.6,NA
Metroscopia,26/07/2011,28/07/2011,20/11/2011,1203,70,30.8,44.8,6.6,NA,NA,3.8,NA,NA,NA,NA
Simple Lógica,10/07/2011,12/07/2011,20/11/2011,NA,NA,30.8,46.3,5.1,2.3,0.8,4.3,NA,NA,NA,NA
CIS,09/07/2011,11/07/2011,20/11/2011,2475,NA,36,43.1,5.1,3.1,1,3,1.1,0.5,0.5,NA
Ipsos,27/06/2011,27/06/2011,20/11/2011,NA,NA,36,44.2,4.4,2.8,1.4,2.4,0.6,1.1,NA,1.2
Celeste-Tel,05/07/2011,07/07/2011,20/11/2011,1100,NA,34.3,44.2,5.9,3.9,1.2,3.2,0.6,1.1,1,NA
GAD,03/07/2011,05/07/2011,20/11/2011,504,NA,30.9,46.4,6.1,3.5,1.1,3.4,0.7,0.8,0.3,NA
Metroscopia,28/06/2011,30/06/2011,20/11/2011,1001,70,30.4,44.7,6.4,NA,NA,3.2,NA,NA,NA,NA
NC Report,28/06/2011,30/06/2011,20/11/2011,1000,68.5,31,47.1,7,3.7,1.1,3.3,0.8,1,0.5,NA
Opinión 2000,19/06/2011,21/06/2011,20/11/2011,1000,NA,38,47,3.5,3,1,1.5,2,NA,NA,NA
GAD,05/06/2011,07/06/2011,20/11/2011,501,NA,30.7,46.6,6.2,3.6,1.3,3.2,0.7,0.8,0.3,NA
Celeste-Tel,05/06/2011,07/06/2011,20/11/2011,1100,NA,32.8,45.5,6.5,3.9,1.1,3.1,0.6,1.1,0.9,NA
Simple Lógica,04/06/2011,06/06/2011,20/11/2011,1000,NA,29.4,46.3,6.4,2.8,1.3,5.3,NA,NA,NA,NA
Sigma Dos,31/05/2011,02/06/2011,20/11/2011,1000,NA,32.1,45.9,5.8,3.5,1,3.6,1.1,NA,NA,NA
Metroscopia,31/05/2011,02/06/2011,20/11/2011,1001,70,31,44.8,6.2,3.2,NA,2.5,NA,NA,NA,NA
NC Report,29/05/2011,29/05/2011,20/11/2011,1000,68.6,31.5,47.2,6.4,3.9,1.2,3.2,0.7,0.9,0.7,NA
GESOP,30/05/2011,30/05/2011,20/11/2011,1000,NA,35.3,44,5.8,3,1.2,4.1,0.7,NA,NA,NA
