polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,iu_u_pe_c,upyd,ci_u,eh_bildu,basque_nationalist_party,erc_cat_si,galician_nationalist_bloc,cc,compromis,cs,podemos,cdc
Sigma Dos,01/12/2015,03/12/2015,20/12/2015,1800,NA,27.5,19.4,4,NA,NA,NA,NA,2,NA,NA,NA,21.6,17.2,2
GAD3,10/11/2015,10/11/2015,20/12/2015,5700,76,28.2,21.5,3.7,0.3,NA,1.1,1.5,2.2,0.2,0.4,NA,17.9,16.6,2.5
Encuestamos,25/11/2015,25/11/2015,20/12/2015,1800,NA,26.5,25.2,5.3,NA,NA,1.1,1.4,2.2,0.6,0.4,NA,15.8,16.3,1.9
Redondo & Asociados,25/11/2015,25/11/2015,20/12/2015,1500,NA,28.1,21.5,3.9,NA,NA,1.1,1.3,2.1,NA,0.5,NA,20.2,15.3,2
TNS Demoscopia,27/11/2015,29/11/2015,20/12/2015,1033,NA,27.1,20,4,0.3,NA,NA,NA,NA,NA,NA,NA,21.6,15.5,NA
GESOP,26/11/2015,28/11/2015,20/12/2015,1816,NA,23.9,21.4,4.9,NA,NA,NA,NA,2.7,NA,NA,NA,21,16,2
Celeste-Tel,25/11/2015,27/11/2015,20/12/2015,1100,NA,28.1,23.9,3.6,0.4,NA,1,1.2,1.9,0.5,0.4,NA,18.6,15.3,1.9
InvyMark,25/11/2015,27/11/2015,20/12/2015,1200,NA,29.5,20.8,3.4,0.2,NA,NA,NA,NA,NA,NA,NA,18,14.3,NA
NC Report,25/11/2015,27/11/2015,20/12/2015,3000,74,29.3,23.1,3.5,0.3,NA,0.9,1.2,2,0.3,0.4,NA,17.4,15.6,2.1
Sigma Dos,24/11/2015,26/11/2015,20/12/2015,1500,NA,27.1,20.2,3.8,NA,NA,NA,1.1,2.2,NA,NA,NA,23,16.2,2.2
Demoscopia Servicios,24/11/2015,26/11/2015,20/12/2015,1500,NA,28.3,21.2,4.1,0.2,NA,1.1,1.3,2.1,NA,NA,NA,19.9,15.5,2
GAD3,24/11/2015,26/11/2015,20/12/2015,4300,74.5,28.3,23.1,4,0.3,NA,1.3,1.4,2.5,0.2,0.4,NA,17.4,14.9,2.5
Metroscopia,23/11/2015,25/11/2015,20/12/2015,1200,78,22.7,22.5,5.2,NA,NA,NA,NA,NA,NA,NA,NA,22.6,17.1,NA
Encuestamos,22/11/2015,24/11/2015,20/12/2015,1800,NA,26.6,25.4,6.2,NA,NA,0.9,1.4,2.1,0.6,0.4,NA,15.1,16,1.9
Deimos Estadística,22/11/2015,22/11/2015,20/12/2015,NA,NA,25,21.7,5,NA,NA,1.6,1.6,2.7,0.5,0.5,NA,20.2,16.8,2.2
TNS Demoscopia,20/11/2015,22/11/2015,20/12/2015,1018,NA,27.4,20.6,4.3,0.2,NA,NA,NA,NA,NA,NA,NA,21.3,14.3,NA
Celeste-Tel,18/11/2015,20/11/2015,20/12/2015,1100,71.4,27.5,23.9,3.4,0.4,NA,1,1.2,1.8,0.5,0.4,NA,18.9,15.1,2
JM&A,19/11/2015,19/11/2015,20/12/2015,NA,69.9,27.2,18.7,4.2,0.5,NA,1.2,1.3,2.7,NA,0.5,NA,19.5,15.9,2.2
GAD3,26/10/2015,26/10/2015,20/12/2015,3000,75,28.5,22.8,4.4,0.2,NA,1.3,1.5,2.6,0.2,0.3,NA,16.4,15.6,2.2
Encuestamos,15/11/2015,17/11/2015,20/12/2015,1800,NA,26.2,25.7,6.8,NA,NA,1,1.5,1.9,NA,NA,NA,15,15.4,2.1
Simple Lógica,14/11/2015,16/11/2015,20/12/2015,1746,74.5,26.5,20.4,4.5,0.6,NA,NA,0.9,NA,NA,NA,NA,21.9,16.9,1.6
CIS,27/10/2015,27/10/2015,20/12/2015,17452,NA,28.6,20.8,3.6,0.7,NA,1.2,1.1,1.9,0.3,0.3,NA,19,15.7,2.2
TNS Demoscopia,13/11/2015,15/11/2015,20/12/2015,1018,NA,26.4,20.5,5.1,0.4,NA,NA,NA,NA,NA,NA,NA,20.4,14.2,NA
Sigma Dos,11/11/2015,13/11/2015,20/12/2015,NA,NA,27.3,20.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,21.4,15.7,NA
InvyMark,11/11/2015,13/11/2015,20/12/2015,NA,NA,28.5,22.2,3.2,0.2,NA,NA,NA,NA,NA,NA,NA,18.2,14,NA
Celeste-Tel,11/11/2015,13/11/2015,20/12/2015,1100,71.2,27.1,23.8,3.5,0.4,NA,1,1.3,1.7,0.5,0.4,NA,19.5,14.6,2.1
GAD3,19/10/2015,19/10/2015,20/12/2015,3100,75,27.9,22.1,4.9,0.4,NA,1.4,1.6,2.5,0.4,0.4,0.9,17.9,13.7,2.2
Sondaxe,28/10/2015,28/10/2015,20/12/2015,1000,NA,29.4,19.3,3.7,0.6,NA,0.6,1.1,1.6,0.3,0.3,NA,20.9,15.2,2.7
IBES,08/11/2015,08/11/2015,20/12/2015,2508,NA,27.4,20.3,4.4,0.5,NA,1.2,1,3.1,0.4,0.2,0.5,18,15,2.8
TNS Demoscopia,26/10/2015,26/10/2015,20/12/2015,1014,NA,26.3,19.6,4.7,0.6,NA,NA,NA,NA,NA,NA,NA,20.2,15,NA
Celeste-Tel,04/11/2015,06/11/2015,20/12/2015,1100,71.1,26.4,24,4.2,0.6,NA,1.1,1.3,1.7,0.7,0.4,1.1,21.1,10.8,2.3
Demoscopia Servicios,29/10/2015,29/10/2015,20/12/2015,1800,NA,29,22.3,5.3,0.6,NA,NA,NA,NA,NA,NA,NA,18.1,13.4,2.4
JM&A,04/11/2015,04/11/2015,20/12/2015,NA,68.3,28,18.2,3.7,0.3,NA,1.3,1.3,1.9,NA,0.6,0.9,19.7,14.8,3
GAD3,14/10/2015,14/10/2015,20/12/2015,3300,75.5,28.1,22.4,4.6,0.2,NA,1.4,1.6,2.5,0.5,0.5,0.9,17.7,13.2,2.4
TNS Demoscopia,19/10/2015,19/10/2015,20/12/2015,1010,NA,26.7,19.3,4.4,0.4,NA,NA,NA,NA,NA,NA,NA,19.8,15.4,NA
GAD3,27/10/2015,29/10/2015,20/12/2015,2800,75.5,27.8,22.1,4.4,0.2,NA,1.4,1.6,2.6,0.6,0.5,0.9,17.5,13.9,2.6
Metroscopia,26/10/2015,28/10/2015,20/12/2015,1400,77,23.5,21,6.3,NA,NA,NA,NA,NA,NA,NA,NA,22.5,17,NA
MyWord,24/10/2015,26/10/2015,20/12/2015,1001,NA,26.3,21.6,3.1,1,NA,NA,NA,NA,NA,NA,NA,18.6,14.9,NA
DYM,24/10/2015,26/10/2015,20/12/2015,1002,NA,27,18.2,6.1,NA,NA,NA,NA,NA,NA,NA,NA,20.3,13.8,NA
Encuestamos,24/10/2015,26/10/2015,20/12/2015,1800,NA,23.5,26.3,7.7,NA,NA,0.9,1.4,2,NA,NA,NA,15.2,15.4,2.3
TNS Demoscopia,23/10/2015,25/10/2015,20/12/2015,1009,NA,26,20.5,4.4,0.5,NA,NA,NA,NA,NA,NA,NA,19.2,14.6,NA
InvyMark,21/10/2015,23/10/2015,20/12/2015,NA,NA,28.6,23.9,3,0.1,NA,NA,NA,NA,NA,NA,NA,18.3,13.5,NA
JM&A,22/10/2015,22/10/2015,20/12/2015,NA,71.1,27.4,22.9,3.7,0.3,NA,1.1,1.2,1.6,NA,0.6,0.7,17.7,14.5,2.9
Demoscopia Servicios,20/10/2015,22/10/2015,20/12/2015,1500,NA,29.5,24.1,4.5,NA,NA,1,1.3,1.6,NA,NA,NA,16.6,13.7,2.5
GAD3,14/09/2015,14/09/2015,20/12/2015,2600,75.5,27.7,21.8,4.1,0.3,NA,1.5,1.6,2.5,0.6,0.5,0.9,17.6,14.1,2.7
TNS Demoscopia,16/10/2015,18/10/2015,20/12/2015,1050,NA,26.7,21.3,4.2,0.7,NA,NA,NA,NA,NA,NA,NA,18.1,14.3,NA
NC Report,15/10/2015,17/10/2015,20/12/2015,1500,69.8,31.3,24.9,4.1,0.4,NA,1.1,1.3,1.9,0.6,0.4,1.1,15.4,10.3,2.2
Sigma Dos,13/10/2015,15/10/2015,20/12/2015,1800,NA,27.4,23.7,4.1,NA,NA,NA,1.5,2,NA,NA,NA,18.1,16.3,2.2
NC Report,13/10/2015,15/10/2015,20/12/2015,NA,NA,30.9,24.5,4,NA,NA,NA,NA,NA,NA,NA,NA,14.9,12.4,NA
CIS,10/10/2015,12/10/2015,20/12/2015,2493,NA,29.1,25.3,4.7,1.2,NA,NA,NA,2.2,NA,NA,NA,14.7,10.8,2.9
TNS Demoscopia,28/09/2015,28/09/2015,20/12/2015,1072,NA,26.9,21,4.3,0.7,NA,NA,NA,NA,NA,NA,NA,17.8,14.2,NA
InvyMark,07/10/2015,09/10/2015,20/12/2015,NA,NA,27.6,24.6,2,0.1,NA,NA,1.4,2.6,NA,NA,NA,17.2,16.1,2.8
Simple Lógica,07/10/2015,09/10/2015,20/12/2015,1047,70,28,20.3,6.2,0.7,NA,NA,0.3,NA,NA,NA,NA,22.6,11.9,1.7
Metroscopia,06/10/2015,08/10/2015,20/12/2015,1200,77,23.4,23.5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,21.5,14.1,NA
Celeste-Tel,05/10/2015,07/10/2015,20/12/2015,1100,70.8,28.9,27.1,4.4,0.5,NA,1,1.3,1.5,0.7,0.4,1,16.2,10.1,2
TNS Demoscopia,21/09/2015,21/09/2015,20/12/2015,1040,NA,27,21.9,4.5,0.7,NA,NA,NA,NA,NA,NA,NA,16.5,14.8,NA
Demoscopia Servicios,29/09/2015,29/09/2015,20/12/2015,1000,NA,30.4,26.5,4.4,0.3,NA,NA,NA,NA,NA,NA,NA,12.3,16.7,2.2
NC Report,28/09/2015,28/09/2015,20/12/2015,1500,69.1,33.8,24.8,4.2,0.4,NA,1.2,1.2,2,0.6,0.4,1.2,11.7,11.2,2.5
Intercampo,08/09/2015,08/09/2015,20/12/2015,2321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JM&A,01/10/2015,01/10/2015,20/12/2015,NA,69.8,28.3,22.7,3.7,0.5,NA,0.9,1.2,1.8,NA,0.6,1.1,15.4,15,3.1
TNS Demoscopia,25/09/2015,27/09/2015,20/12/2015,1060,NA,27.9,23,4.2,0.8,NA,NA,NA,NA,NA,NA,NA,14,15.9,NA
Podemos,22/09/2015,24/09/2015,20/12/2015,1738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Encuestamos,22/09/2015,24/09/2015,20/12/2015,1600,NA,26.2,26.1,6.1,NA,NA,0.8,1.5,2.1,NA,NA,NA,11,17.9,2.5
TNS Demoscopia,18/09/2015,20/09/2015,20/12/2015,1054,NA,28.6,22.5,4.8,0.7,NA,NA,NA,NA,NA,NA,NA,13.7,16.2,NA
TNS Demoscopia,31/08/2015,31/08/2015,20/12/2015,1040,NA,29,22,4.2,0.8,NA,NA,NA,NA,NA,NA,NA,13.2,16.5,NA
Metroscopia,09/09/2015,11/09/2015,20/12/2015,1800,73,23.4,24.6,5,0.9,NA,NA,NA,NA,NA,NA,NA,16.1,18.6,NA
Demoscopia Servicios,09/09/2015,11/09/2015,20/12/2015,1800,NA,31.7,25.6,3.9,0.4,NA,NA,NA,NA,NA,NA,NA,10.5,18.2,2.3
Simple Lógica,07/09/2015,09/09/2015,20/12/2015,NA,NA,28,19.1,5,1.5,NA,NA,1.1,NA,NA,NA,NA,19.6,16.1,2.8
Celeste-Tel,05/09/2015,07/09/2015,20/12/2015,1100,66.8,32,27.4,4.6,0.6,NA,1.1,1.3,1.6,0.8,0.4,1.1,10,12.2,2.1
TNS Demoscopia,24/08/2015,24/08/2015,20/12/2015,1096,NA,28.6,22.5,3.9,1,NA,NA,NA,NA,NA,NA,NA,12.7,16,NA
Sondaxe,26/08/2015,26/08/2015,20/12/2015,1000,NA,31.5,22.7,3.7,0.5,NA,0.8,1.1,1.6,0.5,0.3,NA,11.8,16.3,2.4
JM&A,30/08/2015,30/08/2015,20/12/2015,NA,69.8,29.5,22.4,3.3,0.6,NA,0.9,1.2,1.8,NA,0.6,1.1,12.7,16.7,3.1
TNS Demoscopia,28/08/2015,30/08/2015,20/12/2015,1118,NA,28.5,22.8,4.2,0.9,NA,NA,NA,NA,NA,NA,NA,12.3,16.2,NA
NC Report,27/08/2015,29/08/2015,20/12/2015,900,67.3,32.1,24.9,4.4,1,NA,1.1,1.3,1.7,0.6,0.4,1.5,10.4,12.1,2.3
MyWord,25/08/2015,27/08/2015,20/12/2015,1001,NA,28.3,25.9,2.6,1.5,NA,NA,NA,NA,NA,NA,NA,11.3,15.4,NA
TNS Demoscopia,21/08/2015,23/08/2015,20/12/2015,1112,NA,27.3,22.6,4.5,0.9,NA,NA,NA,NA,NA,NA,NA,13.2,16.3,NA
Encuestamos,21/08/2015,23/08/2015,20/12/2015,1500,NA,27.5,26,5.7,NA,NA,1.1,1.6,1.9,NA,NA,NA,8.6,19.4,2.1
TNS Demoscopia,14/08/2015,16/08/2015,20/12/2015,1086,NA,27,22.9,4.5,0.8,NA,NA,NA,NA,NA,NA,NA,12.9,16.5,NA
Simple Lógica,09/08/2015,11/08/2015,20/12/2015,1022,72.2,29.9,21.4,5.4,1.2,NA,NA,1,NA,NA,NA,NA,17.1,16.5,1.2
TNS Demoscopia,27/07/2015,27/07/2015,20/12/2015,1080,NA,26.4,22.4,4.7,1,NA,NA,NA,NA,NA,NA,NA,13.4,16.8,NA
Celeste-Tel,05/08/2015,07/08/2015,20/12/2015,1100,66.3,31.4,27.6,4.6,0.8,NA,0.9,1.1,1.6,0.7,0.4,1.2,9.9,11.9,2
TNS Demoscopia,20/07/2015,20/07/2015,20/12/2015,1075,NA,25.7,22.9,5,1.2,NA,NA,NA,NA,NA,NA,NA,13.6,16.9,NA
TNS Demoscopia,24/07/2015,26/07/2015,20/12/2015,920,NA,26.8,23,4,1.2,NA,NA,NA,NA,NA,NA,NA,13.7,17.6,NA
Demoscopia Servicios,22/07/2015,24/07/2015,20/12/2015,1800,NA,30.5,25.1,3.3,0.7,NA,NA,NA,NA,NA,NA,NA,10.6,19.3,2.5
Sigma Dos,21/07/2015,23/07/2015,20/12/2015,1800,NA,28.8,24.2,4.2,NA,NA,NA,1.3,2.1,NA,NA,NA,11.1,20.3,2.1
Metroscopia,20/07/2015,22/07/2015,20/12/2015,1000,72,23.1,23.5,5.6,0.3,NA,NA,NA,NA,NA,NA,NA,16,18.1,NA
Encuestamos,18/07/2015,20/07/2015,20/12/2015,1450,NA,26,25.4,4.1,NA,NA,1,1.8,2.4,0.9,0.5,1.8,9.2,21.1,2.9
TNS Demoscopia,17/07/2015,19/07/2015,20/12/2015,910,NA,27.1,22.6,2.9,0.8,NA,NA,NA,NA,NA,NA,NA,13.5,18.6,NA
NC Report,14/07/2015,16/07/2015,20/12/2015,955,NA,31.7,24.8,4.5,NA,NA,NA,NA,NA,NA,NA,NA,11,12.3,NA
TNS Demoscopia,29/06/2015,29/06/2015,20/12/2015,1000,NA,26.1,22.2,2.8,0.9,NA,NA,NA,NA,NA,NA,NA,13.6,19.1,NA
InvyMark,08/07/2015,10/07/2015,20/12/2015,1200,NA,27.7,23.3,2,0.2,NA,NA,1.4,2.8,NA,NA,NA,11.5,21.9,2.6
CIS,07/07/2015,09/07/2015,20/12/2015,2486,NA,28.2,24.9,3.7,NA,NA,1.1,1.3,2.1,NA,NA,NA,11.1,15.7,3.3
Simple Lógica,07/07/2015,09/07/2015,20/12/2015,1040,71.5,26.2,23.1,5.4,0.5,NA,NA,1,NA,NA,NA,NA,18.4,14.9,1.4
GAD3,23/06/2015,23/06/2015,20/12/2015,1000,71,29.1,25.5,3.6,0.3,NA,1.3,1.2,2.3,0.6,0.6,0.9,12.1,15,2.7
Celeste-Tel,05/07/2015,07/07/2015,20/12/2015,1100,66,30.7,27.4,4.8,1,NA,0.9,1.1,1.7,0.7,0.4,1.2,10.2,13.3,1.8
TNS Demoscopia,22/06/2015,22/06/2015,20/12/2015,NA,NA,26,22.8,2.9,0.8,NA,NA,NA,NA,NA,NA,NA,12.5,19.2,NA
Metroscopia,30/06/2015,02/07/2015,20/12/2015,1000,72,23,22.5,4,0.5,NA,NA,NA,NA,NA,NA,NA,15,21.5,NA
TNS Demoscopia,26/06/2015,28/06/2015,20/12/2015,NA,NA,26.9,22.6,3,1.5,NA,NA,NA,NA,NA,NA,NA,11.7,19.3,NA
NC Report,25/06/2015,27/06/2015,20/12/2015,900,66.9,31.2,24.4,4.4,1.1,NA,1.1,1.2,1.8,0.5,0.3,1.5,11.6,12.5,2.2
InvyMark,24/06/2015,26/06/2015,20/12/2015,1200,NA,25.9,23,1.9,0.4,NA,NA,1.4,2.7,NA,NA,NA,13.2,23,2.6
Demoscopia Servicios,24/06/2015,26/06/2015,20/12/2015,1800,NA,29.2,24.4,2.8,0.6,2.6,1,1.2,1.6,0.4,0.7,0.7,11.8,20.2,NA
Encuestamos,21/06/2015,23/06/2015,20/12/2015,1450,NA,25.7,25.2,4.3,NA,2.9,1.1,1.6,2.2,0.9,0.6,1.9,9.8,21.4,NA
TNS Demoscopia,19/06/2015,21/06/2015,20/12/2015,NA,NA,26.6,22,3.3,1.9,NA,NA,NA,NA,NA,NA,NA,12.8,19.7,NA
JM&A,19/06/2015,19/06/2015,20/12/2015,NA,NA,26.8,22.7,3.9,0.6,NA,NA,NA,NA,NA,NA,NA,14.7,17.1,NA
Sigma Dos,15/06/2015,17/06/2015,20/12/2015,1800,NA,27,26.1,4.1,NA,2.5,NA,1.5,2.5,NA,NA,NA,10.3,20.2,NA
TNS Demoscopia,12/06/2015,14/06/2015,20/12/2015,1087,NA,23.8,21.1,4.4,1,NA,NA,NA,NA,NA,NA,NA,15.5,19.2,NA
Simple Lógica,08/06/2015,10/06/2015,20/12/2015,1026,NA,23.8,19.4,4.1,0.6,1.3,NA,1.3,NA,NA,NA,NA,17.3,23.3,NA
NC Report,04/06/2015,06/06/2015,20/12/2015,900,66.6,29.7,24.2,4.9,1.4,2.5,1,1.3,1.9,0.5,0.3,1.4,11.6,12.1,NA
Celeste-Tel,03/06/2015,05/06/2015,20/12/2015,1100,65.9,30.1,27.2,4.7,1,2.6,1,1.1,1.9,0.7,0.4,1.3,10.5,13.2,NA
Metroscopia,28/05/2015,28/05/2015,20/12/2015,2000,72,24.5,23,4.1,0.4,NA,NA,NA,NA,NA,NA,NA,13,21.5,NA
InvyMark,27/05/2015,29/05/2015,20/12/2015,1200,NA,25.4,22,2.5,0.8,2.6,NA,1.4,2.8,NA,NA,NA,15.2,21.9,NA
