polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,vox,sumar,erc,junts,basque_nationalist_party,eh_bildu,cup,c_ca,bng,upn,ev
Cluster17,12/07/2023,14/07/2023,23/07/2023,NA,NA,28.9,33.6,13.7,13.5,2.3,2.3,1.1,1.3,0.7,0.3,0.8,0.3,0.5
Data10,12/07/2023,14/07/2023,23/07/2023,1500,NA,26.6,35.6,13.1,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMOP,12/07/2023,14/07/2023,23/07/2023,1843,NA,28.2,32.9,14.5,12.8,2.2,2,1.4,1.2,0.8,0.3,0.9,0.2,0.1
InvyMark,12/07/2023,14/07/2023,23/07/2023,NA,NA,26.3,33.5,13.8,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,12/07/2023,14/07/2023,23/07/2023,1000,NA,28.1,34.1,12.3,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,12/07/2023,14/07/2023,23/07/2023,2000,NA,28.3,32,14.6,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,12/07/2023,14/07/2023,23/07/2023,4715,71,27.9,34.6,12.4,13.1,2.6,2.4,1.1,1,NA,NA,NA,NA,NA
Simple Lógica,12/07/2023,14/07/2023,23/07/2023,1300,NA,28.4,32.2,13.4,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Target Point,12/07/2023,14/07/2023,23/07/2023,NA,NA,28.2,36,12.7,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,6501,71,28.5,37.2,11.7,11.4,2.3,2,1.2,1.3,0.5,0.4,0.5,0.1,0.1
ElectoPanel,13/07/2023,13/07/2023,23/07/2023,NA,NA,29.2,34.2,13.3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYM,11/07/2023,13/07/2023,23/07/2023,1021,NA,27.1,35.5,12.3,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC Report,11/07/2023,13/07/2023,23/07/2023,1000,64,27.8,36.6,11.9,11.5,2.5,2.1,1.5,1.5,0.6,NA,NA,NA,NA
Data10,11/07/2023,13/07/2023,23/07/2023,1500,NA,26.3,35.5,13.5,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamalgama Métrica,11/07/2023,13/07/2023,23/07/2023,1000,NA,27.5,36.3,13.8,12.1,2.2,2,1.4,1.5,0.7,0.3,0.7,0.2,0.1
Sondaxe,11/07/2023,13/07/2023,23/07/2023,1000,70.8,27.7,33.2,12.8,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
40dB,11/07/2023,13/07/2023,23/07/2023,2000,NA,29.1,32.6,14.4,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,11/07/2023,13/07/2023,23/07/2023,4816,71.2,28,34.6,12.6,13,2.5,2.4,1.2,1,NA,NA,NA,NA,NA
Simple Lógica,11/07/2023,13/07/2023,23/07/2023,1300,NA,28.2,32,14.1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Target Point,11/07/2023,13/07/2023,23/07/2023,1132,NA,27.6,35.9,13.4,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAD3,29/06/2023,29/06/2023,23/07/2023,6003,70,28.5,36.8,12.3,11.3,2.3,2,1.2,1.3,0.5,0.4,0.5,0.1,0.1
ElectoPanel,12/07/2023,12/07/2023,23/07/2023,1012,NA,29,34.4,13.7,12.8,2,1.7,1.4,1.5,0.7,0.3,1,0.3,0.2
NC Report,10/07/2023,12/07/2023,23/07/2023,1000,64.2,27.7,36.3,12,11.9,2.6,2.1,1.5,1.5,0.6,NA,NA,NA,NA
ElectoPanel,10/07/2023,12/07/2023,23/07/2023,NA,NA,29.1,34.3,13.6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS (SocioMétrica),10/07/2023,12/07/2023,23/07/2023,8798,NA,29,32.1,14.1,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,10/07/2023,12/07/2023,23/07/2023,8798,NA,32.2,30.8,11.8,14.9,2.1,1.4,1.1,1.1,0.6,0.2,0.9,0.2,0.1
Celeste-Tel,10/07/2023,12/07/2023,23/07/2023,1100,63.2,28.4,36.5,11.4,11.5,2.3,2.1,1.4,1.5,0.9,0.4,0.8,0.2,0.1
SocioMétrica,10/07/2023,12/07/2023,23/07/2023,800,NA,28.6,33.8,13.9,12.7,2.2,1.9,1.3,1.4,0.6,0.4,0.8,0.3,0.4
40dB,10/07/2023,12/07/2023,23/07/2023,2000,NA,29.5,31.8,14.8,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sondaxe,10/07/2023,12/07/2023,23/07/2023,1000,69.7,28,33.4,12.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,10/07/2023,12/07/2023,23/07/2023,4608,71,28.1,34.5,12.8,12.8,2.4,2.4,1.1,1,NA,NA,NA,NA,NA
Simple Lógica,10/07/2023,12/07/2023,23/07/2023,1300,NA,28.1,32.2,14.2,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Target Point,10/07/2023,12/07/2023,23/07/2023,1601,NA,27.6,35.8,13,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
