polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu,cds,ci_u,basque_nationalist_party,hb,pa,uv,ea,euskadiko_ezkerra,erc,par,cc,galician_nationalist_bloc,andalusian_progress_party
Intercampo,24/03/1993,26/03/1993,06/06/1993,2500,70.2,34.6,33.6,11.6,1.5,4.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opina,22/03/1993,24/03/1993,06/06/1993,2016,NA,36.5,35.4,11.7,1.7,5.6,1.5,0.6,NA,NA,NA,NA,0.9,NA,NA,NA,NA
Demoscopia,12/03/1993,14/03/1993,06/06/1993,10000,65,33.9,33.3,11.5,2,5,1.2,0.9,NA,0.5,0.5,NA,0.8,0.5,0.5,NA,NA
Gallup,24/02/1993,26/02/1993,06/06/1993,1003,NA,32.2,34.5,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP,20/02/1993,20/02/1993,06/06/1993,NA,NA,32.2,35,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,01/02/1993,01/02/1993,06/06/1993,NA,NA,36.5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COPE,23/12/1993,23/12/1993,06/06/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europa Press,23/12/1993,23/12/1993,06/06/1993,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,14/12/1993,14/12/1993,06/06/1993,NA,NA,36.9,31.5,10.9,2.3,5.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,26/11/1993,28/11/1993,06/06/1993,27357,68.8,36.3,31,12.8,2.1,5.2,1.4,1.1,1.4,0.9,0.7,0.2,0.7,0.5,0.5,0.4,NA
CIS,28/10/1993,28/10/1993,06/06/1993,2499,NA,35.9,30.9,11.7,1.2,6.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,20/10/1993,22/10/1993,06/06/1993,3000,NA,36.8,31.7,12,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OTR–IS,17/10/1993,19/10/1993,06/06/1993,NA,NA,37.4,31.1,11.5,2.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,20/09/1993,20/09/1993,06/06/1993,NA,NA,38.4,31,10.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSOE,13/09/1993,13/09/1993,06/06/1993,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OTR–IS,16/08/1993,16/08/1993,06/06/1993,NA,NA,37.8,31.2,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,19/07/1993,19/07/1993,06/06/1993,NA,NA,37.1,31.6,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSOE,08/07/1993,10/07/1993,06/06/1993,23000,NA,35.2,28.2,12.2,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP,07/07/1993,07/07/1993,06/06/1993,2500,65,35,31,11,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opina,18/05/1993,20/05/1993,06/06/1993,1000,NA,37.5,27.8,10,2.9,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,26/04/1993,26/04/1993,06/06/1993,NA,NA,37.6,30.8,10.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP,05/04/1993,05/04/1993,06/06/1993,NA,NA,38,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PP,03/03/1993,03/03/1993,06/06/1993,NA,NA,37,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,29/12/1993,29/12/1993,06/06/1993,NA,NA,38.5,29.3,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,22/09/1993,22/09/1993,06/06/1993,NA,NA,39.2,29.5,10.3,2.7,4.8,1.4,1.1,NA,NA,0.6,0.4,NA,NA,NA,NA,NA
