type_elec,year,month,round (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum,Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.,Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.,Código I.N.E. del municipio (999 = C.E.R.A.),"Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito)",Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única),Censo del I.N.E.,Censo de escrutinio o censo C.E.R.A.,Censo C.E.R.E. en escrutinio (Residentes Extranjeros),Total votantes C.E.R.E. (Residentes Extranjeros),Votantes del primer avance de participación,Votantes del segundo avance de participación,Votos en blanco,Votos nulos,Votos a candidaturas,Votos afirmativos en Referéndum o ceros en otros procesos electorales,Votos negativos en Referéndum o ceros en otros procesos electorales,Datos oficiales (Si/No)
2,1982,10,1,1,4,13,7,0020,A,777,777,0,0,0,0,1,9,525,0,0,N
2,1982,10,1,1,4,18,1,0001,A,264,264,0,0,0,0,1,4,203,0,0,N
2,1982,10,1,1,4,32,2,0002,A,405,405,0,0,0,0,0,3,335,0,0,N
2,1982,10,1,1,4,35,5,0001,A,785,785,0,0,0,0,1,1,530,0,0,N
2,1982,10,1,1,4,47,1,0002,A,833,833,0,0,0,0,2,7,667,0,0,N
2,1982,10,1,1,4,53,2,0001,B,668,668,0,0,0,0,2,4,541,0,0,N
2,1982,10,1,1,4,3,2,0002,B,568,568,0,0,0,0,2,2,425,0,0,N
2,1982,10,1,1,4,3,2,0003,A,851,851,0,0,0,0,0,4,681,0,0,N
2,1982,10,1,1,4,6,4,0002,A,271,271,0,0,0,0,0,0,118,0,0,N
2,1982,10,1,1,4,13,3,0004,A,373,373,0,0,0,0,0,4,261,0,0,N
2,1982,10,1,1,4,13,4,0006,A,860,860,0,0,0,0,2,6,692,0,0,N
2,1982,10,1,1,4,13,5,0008,A,893,893,0,0,0,0,3,12,675,0,0,N
2,1982,10,1,1,4,13,7,0003,A,969,969,0,0,0,0,1,7,787,0,0,N
2,1982,10,1,1,4,13,7,0011,A,743,743,0,0,0,0,8,13,529,0,0,N
2,1982,10,1,1,4,16,1,0001,A,758,758,0,0,0,0,0,8,559,0,0,N
2,1982,10,1,1,4,29,3,0001,A,286,286,0,0,0,0,0,0,224,0,0,N
2,1982,10,1,1,4,36,1,0001,A,270,270,0,0,0,0,0,0,207,0,0,N
2,1982,10,1,1,4,49,2,0001,A,1136,1136,0,0,0,0,0,9,946,0,0,N
2,1982,10,1,1,4,53,4,0001,A,954,954,0,0,0,0,0,0,750,0,0,N
2,1982,10,1,1,4,59,1,0002,A,374,374,0,0,0,0,0,5,250,0,0,N
2,1982,10,1,1,4,65,1,0001,A,556,556,0,0,0,0,1,1,428,0,0,N
2,1982,10,1,1,4,69,1,0002,A,848,848,0,0,0,0,0,9,691,0,0,N
2,1982,10,1,1,4,70,1,0001,A,539,539,0,0,0,0,0,4,383,0,0,N
2,1982,10,1,1,4,79,2,0002,A,852,852,0,0,0,0,2,10,628,0,0,N
2,1982,10,1,1,4,6,2,0001,B,572,572,0,0,0,0,0,7,443,0,0,N
2,1982,10,1,1,4,6,4,0001,A,658,658,0,0,0,0,0,6,405,0,0,N
2,1982,10,1,1,4,8,1,0001,A,491,491,0,0,0,0,1,4,345,0,0,N
2,1982,10,1,1,4,13,1,0002,A,578,578,0,0,0,0,0,4,440,0,0,N
2,1982,10,1,1,4,13,1,0006,A,431,431,0,0,0,0,0,1,366,0,0,N
2,1982,10,1,1,4,13,3,0001,A,770,770,0,0,0,0,0,9,588,0,0,N
2,1982,10,1,1,4,13,3,0001,B,692,692,0,0,0,0,0,16,543,0,0,N
2,1982,10,1,1,4,13,5,0001,A,853,853,0,0,0,0,1,4,662,0,0,N
2,1982,10,1,1,4,13,7,0010,A,695,695,0,0,0,0,0,3,548,0,0,N
2,1982,10,1,1,4,13,7,0010,B,693,693,0,0,0,0,0,0,563,0,0,N
2,1982,10,1,1,4,13,7,0013,B,582,582,0,0,0,0,0,5,470,0,0,N
2,1982,10,1,1,4,13,7,0025,A,702,702,0,0,0,0,1,3,562,0,0,N
2,1982,10,1,1,4,24,1,0001,B,611,611,0,0,0,0,0,4,551,0,0,N
2,1982,10,1,1,4,29,1,0001,A,814,814,0,0,0,0,2,6,583,0,0,N
2,1982,10,1,1,4,29,2,0001,A,555,555,0,0,0,0,0,6,454,0,0,N
2,1982,10,1,1,4,38,3,0010,A,818,818,0,0,0,0,2,3,583,0,0,N
2,1982,10,1,1,4,38,3,0015,B,634,634,0,0,0,0,2,2,481,0,0,N
2,1982,10,1,1,4,45,3,0001,A,545,545,0,0,0,0,0,4,411,0,0,N
2,1982,10,1,1,4,3,2,0002,A,643,643,0,0,0,0,0,5,448,0,0,N
2,1982,10,1,1,4,6,1,0001,B,862,862,0,0,0,0,6,6,679,0,0,N
2,1982,10,1,1,4,13,1,0004,A,705,705,0,0,0,0,1,1,550,0,0,N
2,1982,10,1,1,4,13,2,0003,A,749,749,0,0,0,0,1,9,617,0,0,N
2,1982,10,1,1,4,13,3,0009,A,763,763,0,0,0,0,4,6,507,0,0,N
2,1982,10,1,1,4,13,6,0002,A,699,699,0,0,0,0,1,5,565,0,0,N
2,1982,10,1,1,4,13,6,0003,A,756,756,0,0,0,0,0,11,609,0,0,N
2,1982,10,1,1,4,13,6,0009,A,887,887,0,0,0,0,1,11,691,0,0,N
2,1982,10,1,1,4,13,6,0009,B,829,829,0,0,0,0,1,22,612,0,0,N
2,1982,10,1,1,4,13,7,0007,A,688,688,0,0,0,0,0,3,513,0,0,N
2,1982,10,1,1,4,13,7,0014,B,616,616,0,0,0,0,3,7,441,0,0,N
2,1982,10,1,1,4,13,7,0015,A,1158,1158,0,0,0,0,10,10,882,0,0,N
2,1982,10,1,1,4,13,8,0003,A,162,162,0,0,0,0,0,1,138,0,0,N
2,1982,10,1,1,4,38,3,0001,A,604,604,0,0,0,0,1,2,380,0,0,N
2,1982,10,1,1,4,38,3,0003,A,334,334,0,0,0,0,0,9,189,0,0,N
2,1982,10,1,1,4,47,2,0001,A,171,171,0,0,0,0,0,1,139,0,0,N
2,1982,10,1,1,4,48,2,0001,A,328,328,0,0,0,0,3,3,254,0,0,N
2,1982,10,1,1,4,57,2,0001,A,714,714,0,0,0,0,0,4,630,0,0,N
2,1982,10,1,1,4,62,1,0002,A,561,561,0,0,0,0,1,3,409,0,0,N
2,1982,10,1,1,4,66,1,0003,A,324,324,0,0,0,0,0,1,179,0,0,N
2,1982,10,1,1,4,93,1,0001,A,1244,1244,0,0,0,0,0,20,1019,0,0,N
2,1982,10,1,1,4,99,1,0003,A,697,697,0,0,0,0,1,2,576,0,0,N
2,1982,10,1,1,4,101,1,0001,A,929,929,0,0,0,0,1,13,828,0,0,N
2,1982,10,1,1,11,2,1,0003,A,1017,1017,0,0,0,0,1,2,694,0,0,N
2,1982,10,1,1,11,4,4,0010,A,1292,1292,0,0,0,0,5,26,1022,0,0,N
2,1982,10,1,1,11,5,1,0001,A,590,590,0,0,0,0,0,10,412,0,0,N
2,1982,10,1,1,11,7,4,0001,A,493,493,0,0,0,0,1,7,310,0,0,N
2,1982,10,1,1,11,8,1,0001,A,598,598,0,0,0,0,3,0,511,0,0,N
2,1982,10,1,1,11,8,1,0003,A,709,709,0,0,0,0,0,0,591,0,0,N
2,1982,10,1,1,11,9,1,0001,A,349,349,0,0,0,0,1,1,248,0,0,N
2,1982,10,1,1,11,10,1,0002,B,663,663,0,0,0,0,0,6,517,0,0,N
